cons,gdp,us,y,lexrate,cpi,lnhpr,lnrent,ibm,pwi,r10 ,r3,tbill,temp
6.664409,7.122463,3.5,7.159758,5.484797,1,9.578094,6.696479,460,1,4.48667,4.67,3.94333,460
6.680604,7.128656,3.1,7.18569,4.890349,1.0151,9.586475,6.704414,457,3.65,4.26,4.24667,3.09,457
6.680478,7.134891,3.2,7.207712,5.105945,1.024134,9.594861,6.712348,452,5.183,3.83333,3.49,2.39333,452
6.679222,7.146378,3.4,7.212294,5.153292,1.030689,9.603256,6.722846,459,6.42692,3.88667,3.51667,2.36,459
6.688728,7.157735,3.1,7.221982,5.484797,1.034605,9.61165,6.730756,462,7.455227,3.78667,3.4,2.37667,462
6.699008,7.166806,3,7.219569,5.521461,1.039778,9.620013,6.738662,459,9.020825,3.79,3.39667,2.32667,459
6.702574,7.173038,3.2,7.228534,5.164786,1.04061,9.628277,6.746565,463,11.72707,3.98,3.69333,2.32333,463
6.71247,7.182656,2.8,7.249073,4.736198,1.042379,9.636341,6.757002,479,13.48613,3.97333,3.65,2.47667,479
6.714049,7.174188,2.7,7.266408,5.147494,1.080635,9.64406,6.764877,493,15.10447,4.01667,3.63333,2.74,493
6.726593,7.171657,2.6,7.275795,5.003946,1.495923,9.65128,6.77276,490,17.21909,3.87333,3.39,2.71333,490
6.722991,7.179765,2.7,7.271148,5.056246,1.563837,9.657889,6.780626,492,21.35168,3.99,3.49667,2.85667,492
6.728868,7.17158,3.7,7.263049,5.765191,1.652507,9.663922,6.788487,498,27.11663,3.90333,3.36667,2.80333,498
6.743824,7.208526,5.3,7.249073,4.521789,1.844363,9.669739,6.796343,499,33.89579,3.89333,3.4,2.91,499
6.76273,7.239574,5.8,7.245084,4.804021,1.998921,9.676239,6.804193,497,44.74244,3.96333,3.55,2.94,497
6.801617,7.276003,6,7.257003,4.962845,2.081476,9.685115,6.812037,496,58.16517,4.03333,3.78333,3.28,496
6.784796,7.302833,5.3,7.271565,5.225747,2.139549,9.697097,6.819885,490,71.54316,4.12,3.94333,3.49667,490
6.802173,7.31595,4.7,7.292746,5.545177,2.204378,9.710509,6.827716,489,89.42895,4.18,4.05333,3.53667,489
6.785475,7.344913,4.4,7.303641,5.267858,2.253315,9.724439,6.835539,478,106.4205,4.2,4.06667,3.48,478
6.795929,7.368592,4.1,7.31688,5.036953,2.296353,9.738994,6.843355,487,124.5119,4.19333,3.95667,3.50667,487
6.802284,7.375256,4.2,7.32561,4.997212,2.36111,9.752845,6.851174,491,160.6204,4.17333,4.04667,3.68667,491
6.806165,7.38256,4,7.323633,5.043425,2.388499,9.762304,6.858985,487,203.9879,4.20333,4.08,3.9,487
6.824048,7.385293,4.2,7.328175,5.164786,2.423849,9.770475,6.866777,482,246.8254,4.20667,4.10333,3.87667,482
6.830226,7.391354,4.1,7.328897,5.356586,2.457056,9.780423,6.874581,479,293.7222,4.24667,4.16333,3.86,479
6.851397,7.413247,4.1,7.339927,5.916202,2.487278,9.794361,6.882366,478,340.7177,4.47333,4.52333,4.15667,478
6.864848,7.430885,3.9,7.348137,4.644391,2.518617,9.81163,6.892581,479,385.011,4.77,4.96333,4.63333,479
6.870469,7.435615,4.1,7.347557,5.327876,2.577301,9.830828,6.900348,477,454.313,4.78,4.98,4.59667,477
6.870261,7.43124,4.2,7.353402,5.420535,2.604105,9.850502,6.910521,479,527.0031,5.14,5.57667,5.05,479
6.872439,7.421297,4.9,7.337783,5.693732,2.620771,9.869147,6.920672,475,579.7034,5.00333,5.4,5.24667,475
6.876368,7.415055,6.3,7.317279,5.703782,2.644096,9.887837,6.930798,479,637.6737,4.58333,4.65,4.53667,479
6.884384,7.413609,7.4,7.322642,5.594711,2.690368,9.906086,6.9409,476,682.3109,4.82,4.62667,3.66,476
6.90063,7.425179,7.3,7.34601,5.267858,2.758972,9.923156,6.950987,476,736.8958,5.24667,5.23333,4.34333,476
6.918102,7.437383,6.4,7.369412,5.273,2.808358,9.942711,6.963389,478,795.8474,5.64333,5.64667,4.78667,478
6.932545,7.463076,5.8,7.381751,5.32301,2.83588,9.966401,6.973412,479,843.5983,5.61,5.64667,5.06667,479
6.948225,7.472273,5.1,7.400621,5.147494,2.873313,9.989237,6.985734,477,902.6502,5.74333,5.89333,5.51333,477
6.957783,7.483357,5.3,7.396028,5.159055,2.93394,10.00749,6.998016,476,1001.942,5.46,5.45,5.22333,476
6.975601,7.492147,5.6,7.404523,5.814131,2.978536,10.0196,7.01024,475,1132.194,5.77,5.75,5.58333,475
6.977934,7.488294,5.1,7.421537,4.356709,3.027384,10.02277,7.022422,475,1279.379,6.17667,6.30667,6.14,475
6.979145,7.494708,5.2,7.418661,5.389072,3.11094,10.0176,7.036799,473,1560.843,6.35333,6.53,6.24333,473
6.983605,7.496763,5.5,7.41962,5.31812,3.181869,10.00658,7.053326,474,1826.186,6.85667,7.45667,7.05,474
6.993199,7.510212,6.3,7.411012,4.990433,3.241052,9.990788,7.06973,474,2027.067,7.29667,7.77333,7.32,474
7.000426,7.515562,6.8,7.421357,5.351858,3.299067,9.974042,7.086019,474,2331.127,7.36667,7.72667,7.26333,474
7.003338,7.514691,7,7.433726,5.247024,3.35779,9.96101,7.100027,465,2536.266,7.71333,7.72333,6.75,465
7.00977,7.523589,6.8,7.447926,5.010635,3.412187,9.954798,7.11641,466,2688.442,7.46,7.37667,6.37333,466
7.014814,7.512344,6.2,7.470167,5.549076,3.427541,9.957002,7.141166,467,2876.632,6.85333,6.32,5.36,467
7.005063,7.490027,5.6,7.483188,5.030438,3.427884,9.96608,7.159416,471,3077.997,6.01667,5.06,3.86667,471
7.015982,7.497983,5.5,7.49354,5.241747,3.448451,9.979352,7.179613,471,3262.677,6.24667,5.83667,4.20667,471
7.030504,7.51801,5.6,7.502793,5.46806,3.48604,9.994129,7.193558,467,3425.81,6.48333,6.32667,5.05333,467
7.040274,7.539506,5.5,7.501137,6.086775,3.53345,10.0112,7.209488,473,3525.159,5.89,5.39333,4.23333,473
7.055744,7.552185,5.8,7.514582,4.59512,3.568784,10.03109,7.225358,481,3592.137,6.03333,5.31667,3.43667,481
7.069449,7.569154,5.7,7.528332,5.198497,3.67906,10.05364,7.243148,488,3707.085,6.14333,5.69,3.74667,488
7.080026,7.56569,5.5,7.545654,5.247024,3.721737,10.07787,7.256897,490,3810.884,6.29,5.87667,4.24,490
7.083975,7.571422,5.6,7.552815,5.313206,3.761931,10.10435,7.274535,489,3906.156,6.37333,6,4.85333,489
7.091492,7.589285,5.5,7.574918,5.420535,3.80557,10.13282,7.29787,489,3999.904,6.60333,6.57,5.64,489
7.103651,7.586651,5.2,7.583451,5.214936,3.869884,10.16217,7.315258,485,4043.902,6.80667,6.81667,6.61,485
7.099037,7.587665,5,7.593475,5.484797,3.890394,10.19075,7.334447,491,4112.649,7.20667,7.56,8.39,491
7.101758,7.581261,5,7.597747,5.198497,3.918405,10.21831,7.353505,492,4157.888,6.75333,6.87333,7.46667,492
7.105048,7.589538,4.9,7.619184,4.990433,3.921932,10.24478,7.37612,494,4245.204,7.05333,7.02333,7.60333,494
7.119312,7.603898,4.7,7.633563,5.31812,3.937619,10.26989,7.394893,499,4321.617,7.54333,8.15667,8.27,499
7.121898,7.618349,4.4,7.649359,6.369901,3.979752,10.29318,7.415344,498,4438.301,7.96,8.49333,8.29,498
7.13966,7.638439,4.1,7.672106,5.808142,4.043826,10.31521,7.437407,500,4473.807,7.67,7.61667,7.33667,500
7.149524,7.651501,3.9,7.691703,5.153292,4.106101,10.33672,7.457517,497,4509.598,7.54,6.89667,5.87667,497
7.160069,7.661856,3.8,7.694302,5.283204,4.204647,10.35863,7.475759,494,4568.223,8.05,7.44,5.40333,494
7.168734,7.669775,3.8,7.704496,5.7301,4.273183,10.3806,7.495597,495,4641.314,8.29667,8.05667,6.33667,495
7.18106,7.668655,3.7,7.709398,5.347108,4.318052,10.40355,7.518667,500,4706.292,8.06333,7.56667,5.68333,500
7.187279,7.682897,3.8,7.715034,5.442418,4.362096,10.42789,7.541508,504,4743.943,7.75333,7.06,4.95333,504
7.194662,7.695985,3.8,7.720994,5.749393,4.396992,10.45342,7.560851,513,4767.663,7.77,7.14,5.17333,513
7.208378,7.713159,3.8,7.735302,5.361292,4.432168,10.48013,7.581679,511,4805.804,7.73,6.88,5.17,511
7.216709,7.720683,3.9,7.740925,5.283204,4.463637,10.50907,7.602346,514,4800.998,7.19,6.00333,4.7,514
7.235619,7.745479,3.7,7.752464,5.556828,4.445336,10.54126,7.627564,510,4829.804,7.35333,6.37667,4.62333,510
7.250848,7.753581,3.6,7.769336,5.720312,4.46045,10.57687,7.649397,509,4797.219,7.37,6.41667,4.82667,509
7.268084,7.765315,3.5,7.77708,5.497168,4.505054,10.61456,7.672562,515,4833.425,7.35667,6.71333,5.47,515
7.27073,7.76811,3.4,7.776115,6.066108,4.548303,10.65353,7.696994,519,4880.492,7.59667,7.23667,6.13667,519
7.288518,7.787424,3.4,7.790075,5.023881,4.598334,10.69318,7.721154,523,4844.286,8.01,7.66,6.41,523
7.300405,7.8009,3.4,7.79144,5.521461,4.678805,10.73269,7.747947,519,4923.938,8.32,8.07333,6.48333,519
7.315285,7.818229,3.6,7.796963,5.42495,4.725125,10.7712,7.772963,523,4952.902,8.49,8.42667,7.32,523
7.339927,7.841414,3.6,7.792968,5.384495,4.760564,10.80834,7.799089,531,4949.282,8.82,8.99667,8.68,531
7.352185,7.862035,4.2,7.786801,5.293305,4.807693,10.84391,7.818004,547,4934.8,9.10667,9.39,9.36,547
7.356344,7.863805,4.8,7.785929,5.849325,4.84327,10.87747,7.844958,551,4891.353,9.11333,9.26667,9.37333,551
7.366445,7.873255,5.2,7.798031,5.411646,4.881048,10.90837,7.876859,547,,9.10333,9.25667,9.63333,547
7.369979,7.878724,5.8,7.788958,5.257495,4.925953,10.93662,7.906897,541,,10.4467,10.9467,11.8033,541
7.377884,7.885028,5.9,7.815449,5.55296,4.946642,10.96269,7.933919,545,,11.9867,12.59,13.4633,545
7.390675,7.889459,5.9,7.815368,5.768321,4.967913,10.98682,7.965546,549,,10.4767,10.1233,10.05,549
7.395967,7.900822,6,7.82048,5.817111,5.024547,11.009,7.989852,545,,10.9533,10.49,9.23667,545
7.401842,7.906584,5.9,7.82044,6.313548,5.08032,11.02915,8.01611,549,,12.4233,12.99,13.71,549
7.422314,7.92012,5.8,7.842122,5.123964,5.138235,11.04791,8.037207,547,,12.96,13.39,14.3733,547
7.436499,7.936267,5.7,7.86138,5.411646,5.272857,11.0656,8.059147,543,,13.75,14.4867,14.8267,543
7.453098,7.943357,5.6,7.871731,5.918894,5.337713,11.08158,8.086349,540,,14.8467,15.79,15.0867,540
7.458763,7.945095,5.4,7.890321,5.66296,5.409239,11.09549,8.11191,539,,14.0867,14.09,12.0233,539
7.470053,7.960184,4.9,7.913521,5.620401,5.469822,11.10746,8.129479,532,,14.2933,14.5,12.8933,532
7.475963,7.9613,4.9,7.916078,6.077642,5.513581,11.1177,8.145787,517,,13.93,14.1433,12.36,517
7.481556,7.967107,4.8,7.915093,5.68358,5.548868,11.12737,8.168217,527,,13.1133,12.8833,9.71,527
7.490027,7.963843,4.8,7.924,5.752573,5.574392,11.13783,8.189267,540,,10.6667,10.16,7.93667,540
7.49582,7.9613,5.1,7.91841,5.545177,5.566588,11.1496,8.204959,542,,10.5633,9.79667,8.08,542
7.4997,7.958402,5.2,7.921245,5.556828,5.580505,11.16223,8.218501,538,,10.5433,9.91333,8.42,538
7.509171,7.97074,5.6,7.90813,6.018593,5.611197,11.17543,8.236894,541,,11.6267,11.09,9.18667,541
7.507251,7.963216,6.6,7.899302,7.202661,5.65272,11.18928,8.250189,541,,11.6867,10.9867,8.79333,541
7.522887,7.986131,8.3,7.879556,5.347108,5.699073,11.20401,8.265323,547,,11.9433,11.19,9.13333,547
7.530212,7.987592,8.9,7.889684,5.814131,5.83756,11.21945,8.283186,553,,13.2,12.6367,9.84333,553
7.537377,7.993721,8.5,7.90651,6.052089,5.934464,11.2353,8.302722,559,,12.8667,12.64,10.3433,559
7.552027,7.998772,8.3,7.920338,5.945421,5.983126,11.25163,8.321081,557,,11.7433,11.1033,8.97333,557
7.564913,8.018724,7.7,7.938945,5.971262,6.004067,11.26885,8.336486,557,,11.5833,10.6767,8.18333,557
7.582382,8.035829,7.6,7.943392,6.184149,6.032887,11.28712,8.357149,560,,10.8133,9.76333,7.52333,560
7.595438,8.047446,7.7,7.947537,5.66296,6.049779,11.30653,8.375754,571,,10.3367,9.28667,7.10333,571
7.616825,8.06322,7.8,7.957457,5.843544,6.090312,11.32699,8.396744,571,,9.76,8.84333,7.14667,571
7.632353,8.087425,7.5,7.971086,5.713733,6.101884,11.34851,8.409717,569,,8.55667,7.93667,6.88667,569
7.631432,8.091811,7.1,7.987083,5.932245,6.107376,11.37067,8.42855,575,,7.60333,7.18,6.13,575
7.63709,8.090801,6.9,8.006967,6.086775,6.124476,11.393,8.445478,580,,7.30667,6.65667,5.53333,580
7.634047,8.098369,6.7,8.004399,7.607381,6.16306,11.41521,8.458922,584,,7.26333,6.48333,5.34,584
7.625985,8.089298,6.3,8.013178,5.686975,6.211749,11.43708,8.470628,585,,7.19333,6.51667,5.53333,585
7.629976,8.091811,6,8.044273,5.940171,6.316106,11.45829,8.478184,590,,8.34333,7.72,5.73333,590
7.633128,8.083051,6,8.052806,6.386879,6.386215,11.47877,8.498671,599,,8.87667,8.14667,6.03333,599
7.620656,8.079122,5.9,8.06514,6.079933,6.423893,11.49886,8.51173,603,,9.12333,8.29,6.00333,603
7.626473,8.056427,5.9,8.065171,6.274762,6.46051,11.51909,8.521542,599,,8.41667,7.58333,5.76,599
7.643435,8.067902,5.7,8.064228,6.156979,6.501211,11.53943,8.532098,596,,8.91,8.09667,6.23,596
7.656526,8.086379,5.9,8.073216,6.061457,6.562972,11.55957,8.549598,585,,9.1,8.59333,6.99333,585
7.667158,8.099402,6,8.071312,5.886104,6.62007,11.57956,8.560776,587,,8.95667,8.75333,7.70333,587
7.686759,8.118714,6.3,8.081289,6.246107,6.626028,11.59942,8.571893,585,,9.21,9.37667,8.53333,585
7.693801,8.122431,7.3,8.057377,6.336826,6.678374,11.61874,8.584465,581,,8.77333,8.91667,8.44,581
7.702104,8.125927,7.7,8.058042,6.347389,6.787899,11.63663,8.599947,583,,8.10667,8.07333,7.85,583
7.715124,8.136313,7.4,8.070656,6.917706,6.87139,11.65183,8.615287,592,,7.90667,7.86333,7.63333,592
7.728108,8.150872,7.4,8.08982,5.883322,6.949037,11.66374,8.6261,592,,8.42333,8.38333,7.75667,592
7.732282,8.167636,7.4,8.086472,6.146329,7.10956,11.67249,8.639765,596,,8.67667,8.62333,7.76667,596
7.741794,8.181553,7.4,8.090893,6.421622,7.194875,11.67873,8.655521,596,,8.70333,8.25,7.49333,596
7.75431,8.179536,8.2,8.076826,6.553933,7.281213,11.68344,8.663989,595,,8.39667,7.76,7.02333,595
7.760936,8.186409,8.8,8.061613,6.616065,7.384606,11.6878,8.670988,598,,8.01667,7.27,6.05333,598
7.780721,8.217978,9.4,8.064605,6.410175,7.484298,11.69229,8.678649,598,,8.13,7.24667,5.59333,598
7.785097,8.225664,9.9,8.056585,6.459904,7.556896,11.6972,8.690417,595,,7.94,6.89333,5.40667,595
7.792184,8.237373,10.7,8.058106,6.318968,7.595436,11.70262,8.6952,595,,7.34667,5.84,4.58333,595
7.798892,8.237691,10.4,8.06671,6.059123,7.62278,11.70809,8.704073,592,,,,,592
7.797866,8.238616,10.1,8.088961,6.226537,7.683762,11.71337,8.70608,588,,,,,588
7.80576,8.244728,9.4,8.103615,6.50279,7.753684,11.71859,8.710806,582,,,,,582
7.810109,8.246591,8.5,8.121213,6.783325,7.81804,11.72363,8.720914,576,,,,,576
7.809785,8.250829,7.9,8.146622,5.726848,7.871984,11.72862,8.724916,578,,,,,578
7.789123,8.22486,7.4,8.159947,6.295266,8.05855,11.73391,8.733573,589,,,,,589
7.799876,8.225101,7.4,8.166387,6.331502,8.191517,11.73946,8.738862,585,,,,,585
7.811649,8.244991,7.3,8.170525,6.401917,8.298825,11.74508,8.745447,580,,,,,580
7.814198,8.258552,7.2,8.18242,6.33328,8.356087,11.75058,8.75461,579,,,,,579
7.81444,8.254373,7.3,8.188467,6.605298,8.403717,11.75599,8.756556,584,,,,,584
7.818993,8.259588,7.2,8.198584,6.50129,8.454139,11.76158,8.767575,581,,,,,581
7.811407,8.243572,7,8.205874,6.272877,8.5074,11.76782,8.772723,581,,,,,581
7.817625,8.231136,7,8.221775,6.349139,8.5074,11.77538,8.779768,577,,,,,577
7.819596,8.235122,7.2,8.217331,6.917706,8.504848,11.7844,8.785501,577,,,,,577
7.825046,8.230684,7,8.219434,6.428105,8.504848,11.79414,8.792472,578,,,,,578
7.839644,8.232068,6.8,8.225128,7.146772,8.529512,11.80374,8.800031,580,,,,,580
7.846394,8.238405,6.6,8.237797,6.535241,8.564483,11.81283,8.80692,586,,,,,586
7.864804,8.265264,6.3,8.248084,6.475433,8.704941,11.82126,8.814387,583,,,,,583
7.878155,8.280052,6,8.258137,6.844815,8.779803,11.82952,8.822422,581,,,,,581
7.8929,8.29707,5.8,8.274025,6.715383,8.835116,11.83814,8.829794,576,,,,,576
7.902413,8.316178,5.7,8.286572,6.661855,8.860738,11.8475,8.837122,571,,,,,571
7.916115,8.329417,5.5,8.295499,6.692084,8.905042,11.8578,8.845607,575,,,,,575
7.921028,8.334808,5.5,8.302043,6.697034,8.939771,11.86901,8.854628,575,,,,,575
7.931931,8.341458,5.3,8.308766,6.548219,8.971954,11.88074,8.862986,573,,,,,573
7.946228,8.348017,5.2,8.317693,6.685861,9.0213,11.89264,8.8707,577,,,,,577
7.954969,8.355803,5.2,8.321713,6.812345,9.097079,11.90445,8.879529,582,,,,,582
7.970153,8.368461,5.2,8.32596,6.84588,9.142564,11.91635,8.890024,584,,,,,584
7.970844,8.374131,5.4,8.326807,7.35628,9.216619,11.92844,8.899279,579,,,,,579
7.98016,8.387198,5.3,8.331008,6.390241,9.316159,11.941,8.90619,572,,,,,572
7.988848,8.38656,5.3,8.332092,6.751101,9.536952,11.95435,8.913063,577,,,,,577
8.004265,8.392219,5.6,8.335671,6.677083,9.61134,11.96869,8.921018,571,,,,,571
8.010526,8.3955,6,8.330285,6.678342,,11.98405,8.932255,560,,,,,560
8.010194,8.402904,,,6.909753,,12.00053,8.942282,549,,,,,549
8.021847,8.415227,,,6.803505,,12.01788,8.949495,556,,,,,556
8.03132,8.424924,,,6.872128,,12.04225,8.960014,557,,,,,557
8.030963,8.43934,,,6.84375,,12.05691,8.970602,563,,,,,563
8.048213,8.445762,,,6.710523,,12.06953,8.981255,564,,,,,564
8.054459,8.456339,,,7.231287,,12.10035,8.993368,567,,,,,567
8.061676,8.462631,,,6.80017,,12.12498,9.004818,561,,,,,561
8.071812,8.472133,,,7.708411,,12.13128,9.016139,559,,,,,559
8.07203,8.480031,,,6.603944,,12.14639,9.02649,553,,,,,553
8.074711,8.484463,,,7.129298,,12.18169,9.034057,553,,,,,553
8.081877,8.484463,,,7.061334,,12.21302,9.041069,553,,,,,553
8.083946,8.488115,,,6.988413,,12.23226,9.048527,547,,,,,547
8.090831,8.496643,,,7.2086,,12.24693,9.056914,550,,,,,550
8.093034,8.500474,,,7.159292,,12.27504,9.063605,544,,,,,544
8.098156,8.498316,,,7.049255,,12.30593,9.069928,541,,,,,541
8.091291,8.490274,,,6.94119,,12.33357,9.075248,532,,,,,532
8.084217,8.485083,,,6.81564,,12.36109,9.081339,525,,,,,525
8.089323,8.490418,,,7.085901,,12.40562,9.089455,542,,,,,542
8.092473,8.49288,,,7.17549,,12.44165,9.097349,555,,,,,555
8.091114,8.493064,,,7.953318,,12.46983,9.103151,558,,,,,558
8.105137,8.500759,,,5.981414,,12.50673,9.110938,551,,,,,551
8.109337,8.506638,,,6.784457,,12.55016,9.118511,551,,,,,551
8.118976,8.515291,,,7.034388,,12.58563,9.126179,552,,,,,552
8.132535,8.52926,,,6.966024,,12.60666,9.13379,553,,,,,553
8.136587,8.532141,,,7.103322,,12.61565,9.141192,557,,,,,557
8.142994,8.538054,,,7.091742,,12.62236,9.151375,557,,,,,557
8.15255,8.544692,,,7.063048,,12.61273,9.162782,548,,,,,548
8.162293,8.559869,,,7.008505,,12.60382,9.17406,547,,,,,547
8.173671,8.568095,,,6.873164,,12.59514,9.185598,545,,,,,545
8.176909,8.578119,,,7.134094,,12.58612,9.194651,545,,,,,545
8.184438,8.588024,,,7.064759,,12.56872,9.202788,539,,,,,539
8.196875,8.600394,,,7.922986,,12.51591,9.213359,539,,,,,539
,,,,6.565265,,12.44687,9.222264,535,,,,,535
,,,,6.89467,,12.42511,9.230125,537,,,,,537
,,,,7.106606,,12.38954,9.239523,535,,,,,535
,,,,7.138867,,12.3132,9.248331,536,,,,,536
,,,,6.954639,,12.23707,9.254784,537,,,,,537
,,,,6.88551,,12.26763,9.258805,543,,,,,543
,,,,6.79794,,12.29977,9.259173,548,,,,,548
,,,,6.566672,,12.28866,9.25773,546,,,,,546
,,,,6.6995,,12.25942,9.257911,547,,,,,547
,,,,7.062192,,12.30506,9.258638,548,,,,,548
,,,,7.100027,,12.28453,9.259883,549,,,,,549
,,,,7.601402,,,,553,,,,,553
,,,,,,,,553,,,,,553
,,,,,,,,552,,,,,552
,,,,,,,,551,,,,,551
,,,,,,,,550,,,,,550
,,,,,,,,553,,,,,553
,,,,,,,,554,,,,,554
,,,,,,,,551,,,,,551
,,,,,,,,551,,,,,551
,,,,,,,,545,,,,,545
,,,,,,,,547,,,,,547
,,,,,,,,547,,,,,547
,,,,,,,,537,,,,,537
,,,,,,,,539,,,,,539
,,,,,,,,538,,,,,538
,,,,,,,,533,,,,,533
,,,,,,,,525,,,,,525
,,,,,,,,513,,,,,513
,,,,,,,,510,,,,,510
,,,,,,,,521,,,,,521
,,,,,,,,521,,,,,521
,,,,,,,,521,,,,,521
,,,,,,,,523,,,,,523
,,,,,,,,516,,,,,516
,,,,,,,,511,,,,,511
,,,,,,,,518,,,,,518
,,,,,,,,517,,,,,517
,,,,,,,,520,,,,,520
,,,,,,,,519,,,,,519
,,,,,,,,519,,,,,519
,,,,,,,,519,,,,,519
,,,,,,,,518,,,,,518
,,,,,,,,513,,,,,513
,,,,,,,,499,,,,,499
,,,,,,,,485,,,,,485
,,,,,,,,454,,,,,454
,,,,,,,,462,,,,,462
,,,,,,,,473,,,,,473
,,,,,,,,482,,,,,482
,,,,,,,,486,,,,,486
,,,,,,,,475,,,,,475
,,,,,,,,459,,,,,459
,,,,,,,,451,,,,,451
,,,,,,,,453,,,,,453
,,,,,,,,446,,,,,446
,,,,,,,,455,,,,,455
,,,,,,,,452,,,,,452
,,,,,,,,457,,,,,457
,,,,,,,,449,,,,,449
,,,,,,,,450,,,,,450
,,,,,,,,435,,,,,435
,,,,,,,,415,,,,,415
,,,,,,,,398,,,,,398
,,,,,,,,399,,,,,399
,,,,,,,,361,,,,,361
,,,,,,,,383,,,,,383
,,,,,,,,393,,,,,393
,,,,,,,,385,,,,,385
,,,,,,,,360,,,,,360
,,,,,,,,364,,,,,364
,,,,,,,,365,,,,,365
,,,,,,,,370,,,,,370
,,,,,,,,374,,,,,374
,,,,,,,,359,,,,,359
,,,,,,,,335,,,,,335
,,,,,,,,323,,,,,323
,,,,,,,,306,,,,,306
,,,,,,,,333,,,,,333
,,,,,,,,330,,,,,330
,,,,,,,,336,,,,,336
,,,,,,,,328,,,,,328
,,,,,,,,316,,,,,316
,,,,,,,,320,,,,,320
,,,,,,,,332,,,,,332
,,,,,,,,320,,,,,320
,,,,,,,,333,,,,,333
,,,,,,,,344,,,,,344
,,,,,,,,339,,,,,339
,,,,,,,,350,,,,,350
,,,,,,,,351,,,,,351
,,,,,,,,350,,,,,350
,,,,,,,,345,,,,,345
,,,,,,,,350,,,,,350
,,,,,,,,359,,,,,359
,,,,,,,,375,,,,,375
,,,,,,,,379,,,,,379
,,,,,,,,376,,,,,376
,,,,,,,,382,,,,,382
,,,,,,,,370,,,,,370
,,,,,,,,365,,,,,365
,,,,,,,,367,,,,,367
,,,,,,,,372,,,,,372
,,,,,,,,373,,,,,373
,,,,,,,,363,,,,,363
,,,,,,,,371,,,,,371
,,,,,,,,369,,,,,369
,,,,,,,,376,,,,,376
,,,,,,,,387,,,,,387
,,,,,,,,387,,,,,387
,,,,,,,,376,,,,,376
,,,,,,,,385,,,,,385
,,,,,,,,385,,,,,385
,,,,,,,,380,,,,,380
,,,,,,,,373,,,,,373
,,,,,,,,382,,,,,382
,,,,,,,,377,,,,,377
,,,,,,,,376,,,,,376
,,,,,,,,379,,,,,379
,,,,,,,,386,,,,,386
,,,,,,,,387,,,,,387
,,,,,,,,386,,,,,386
,,,,,,,,389,,,,,389
,,,,,,,,394,,,,,394
,,,,,,,,393,,,,,393
,,,,,,,,409,,,,,409
,,,,,,,,411,,,,,411
,,,,,,,,409,,,,,409
,,,,,,,,408,,,,,408
,,,,,,,,393,,,,,393
,,,,,,,,391,,,,,391
,,,,,,,,388,,,,,388
,,,,,,,,396,,,,,396
,,,,,,,,387,,,,,387
,,,,,,,,383,,,,,383
,,,,,,,,388,,,,,388
,,,,,,,,382,,,,,382
,,,,,,,,384,,,,,384
,,,,,,,,382,,,,,382
,,,,,,,,383,,,,,383
,,,,,,,,383,,,,,383
,,,,,,,,388,,,,,388
,,,,,,,,395,,,,,395
,,,,,,,,392,,,,,392
,,,,,,,,386,,,,,386
,,,,,,,,383,,,,,383
,,,,,,,,377,,,,,377
,,,,,,,,364,,,,,364
,,,,,,,,369,,,,,369
,,,,,,,,355,,,,,355
,,,,,,,,350,,,,,350
,,,,,,,,353,,,,,353
,,,,,,,,340,,,,,340
,,,,,,,,350,,,,,350
,,,,,,,,349,,,,,349
,,,,,,,,358,,,,,358
,,,,,,,,360,,,,,360
,,,,,,,,360,,,,,360
,,,,,,,,366,,,,,366
,,,,,,,,359,,,,,359
,,,,,,,,356,,,,,356
,,,,,,,,355,,,,,355
,,,,,,,,367,,,,,367
,,,,,,,,357,,,,,357
,,,,,,,,361,,,,,361
,,,,,,,,355,,,,,355
,,,,,,,,348,,,,,348
,,,,,,,,343,,,,,343
,,,,,,,,330,,,,,330
,,,,,,,,340,,,,,340
,,,,,,,,339,,,,,339
,,,,,,,,331,,,,,331
,,,,,,,,345,,,,,345
,,,,,,,,352,,,,,352
,,,,,,,,346,,,,,346
,,,,,,,,352,,,,,352
,,,,,,,,357,,,,,357
