mag,milk,qp,yn4,yc,yv,ass,liquor,ox,ser_e,y4,xp,mod1,mod2
208,589,112,112,-0.300232159133884,-0.300232,5.484797,480,2.63,101,2.483524,2.266525,294.35,16.5854855663136
200,561,118,118,0.762154320451373,1.36227,4.890349,467,1.94,82,-0.108597,1.230088,279.86,14.6996153654511
231,640,132,132,3.76281176385601,6.066549,5.105945,514,3.38,66,0.471987,0.539581,320.12,15.431312085506
214,656,129,129,7.80801091081048,7.493373,5.153292,505,4.92,35,2.597638,2.393145,328.64,15.5671213414963
211,727,121,121,11.0863955038521,1.093609,5.484797,534,6.29,31,2.454293,2.266525,364.10,16.4506615032885
218,697,135,135,14.2320077742329,4.857216,5.521461,546,5.58,7,0.826133,1.230088,349.37,15.9524658697002
210,640,148,148,10.7365387016,5.313382,5.164786,539,5.5,20,0.991448,0.539581,318.91,15.6120386563308
214,599,148,148,7.80999429298743,8.278546,4.736198,541,4.71,92,2.454912,3.432591,299.38,14.2827047442082
217,568,136,136,7.11471079075878,0.620099,5.147494,551,6.04,154,2.711781,2.445303,284.55,15.8186939149542
211,577,119,119,3.9065980454673,2.492301,5.003946,537,7.13,125,2.481313,1.514218,287.96,14.6437495780352
213,553,104,104,1.07147231318365,6.002325,5.056246,584,7.79,85,-0.413643,-0.017809,276.15,15.4769504067078
274,582,118,118,-2.39672131731516,5.304644,5.765191,854,3.83,68,3.012757,2.947205,290.15,17.4051284580388
222,600,115,115,-3.28891027564763,-2.434354,4.521789,522,3.83,38,1.333985,1.849848,299.08,13.6225401106902
215,566,126,126,-0.550522426846554,-0.09125,4.804021,506,4.25,23,2.671618,2.050086,282.51,14.846125030763
245,653,141,141,2.4239093023731,3.264195,4.962845,558,5.29,10,-0.08962,-0.122437,326.11,15.7899533888212
220,673,135,135,3.73890977995888,2.521033,5.225747,538,3.75,24,3.563359,2.817727,335.44,15.0230460084882
221,742,125,125,6.73953011392151,-3.628782,5.545177,605,4.67,83,3.086373,1.334985,370.72,16.0184047387958
228,716,149,149,9.86584155501715,-1.705081,5.267858,583,5.42,132,3.957127,1.415793,357.80,16.0835903656502
211,660,170,170,10.8680361188963,3.01369,5.036953,607,6.04,131,0.272153,0.031361,330.07,15.7062085474387
228,617,170,170,8.6439640207644,3.093688,4.997212,624,5.71,118,3.539894,3.507721,308.32,14.5525342317208
216,583,158,158,6.25017696062739,-3.44867,5.043425,570,8.13,90,2.795343,1.705293,291.34,14.0575851164144
230,587,133,133,3.85109055448344,-1.234393,5.164786,609,4.88,67,3.120484,2.838166,293.31,15.0452688430269
233,565,114,114,3.23836954950521,4.441694,5.356586,675,5.42,60,1.410782,-0.078352,283.17,16.1707494285532
281,590,140,140,0.736356118703338,3.988979,5.916202,861,5.5,47,2.545809,3.841789,294.96,17.9631444314645
232,628,145,145,0.131617723895656,-2.129176,4.644391,605,3,41,3.364947,2.232042,313.91,13.4407054932259
233,618,150,150,1.68165378640662,-0.486757,5.327876,537,3.42,21,3.920358,2.627377,308.74,15.5540099877235
240,688,178,178,6.04804608165904,6.144437,5.420535,575,4.5,16,1.22856,0.752853,344.99,16.4924478292963
236,705,163,163,8.81297447318476,5.803831,5.693732,588,4.25,6,4.118195,2.703116,352.93,17.1419894680374
246,770,172,172,12.5101276456105,1.987527,5.703782,656,4,4,2.824548,2.549815,386.19,16.8412965594128
231,736,178,178,12.6395877861745,1.46528,5.594711,623,5.33,7,4.395579,2.998663,367.67,16.8353807527082
236,678,199,199,13.1821417474518,9.105781,5.267858,661,5.79,14,1.663673,0.341528,339.83,15.3328218160991
239,639,199,199,8.46218398394324,5.284455,5.273,668,6.58,34,3.204227,3.457553,318.69,15.3713410234455
225,604,184,184,6.5260488096465,2.119886,5.32301,603,7.29,45,2.887511,2.000648,302.27,16.4923157347437
251,611,162,162,5.3529888292816,2.685287,5.147494,639,5.04,43,4.336229,3.113236,305.95,16.2557771734296
235,594,146,146,4.81079800499746,9.699893,5.159055,669,5.04,48,2.82262,1.709004,297.96,15.1411317187992
299,634,166,166,1.5374437687429,7.785162,5.814131,915,4.48,42,2.713071,3.448083,316.96,17.3564269923542
246,658,171,171,0.040255985343851,1.973162,4.356709,643,3.33,28,3.649227,2.594768,328.74,13.126491797274
229,622,180,180,2.64582881674895,4.179384,5.389072,563,2.88,10,5.722735,4.055732,311.34,17.0896209790646
237,709,193,193,4.38770513104316,7.595767,5.31812,616,2.5,8,3.600992,3.040787,354.31,16.2518659487653
252,722,181,181,7.34983918869403,9.252334,4.990433,645,3.83,2,1.708929,2.53271,361.38,15.7987004362542
247,782,183,183,7.99815976893195,-0.126683,5.351858,703,4.17,0,2.868036,3.56002,390.28,16.1441030774022
248,756,218,218,9.58150648481375,3.26406,5.247024,684,4.42,1,5.873849,4.624347,377.58,16.5211637956047
241,702,230,230,8.76085159193765,4.802563,5.010635,731,4.25,5,3.488176,3.948849,350.24,14.7100245932272
238,653,242,242,7.22841780006998,6.932477,5.549076,722,4.08,12,1.049911,2.499592,326.32,16.1641783108627
235,615,209,209,5.97524294899277,-1.13419,5.030438,678,4.88,14,0.49474,3.555821,307.48,15.6882995010335
260,621,191,191,4.34010353298625,2.314013,5.241747,713,4.54,35,4.190288,5.7985,310.51,16.1846165420501
233,602,172,172,1.97030787826173,5.106154,5.46806,725,4.25,46,3.707669,3.66683,300.84,15.5394961021834
307,635,194,194,2.03069638419983,8.885542,6.086775,989,4.21,41,0.595012,2.479371,318.60,18.8963221393977
242,677,196,196,-0.265056815945186,-2.241067,4.59512,687,2.75,30,1.954954,1.528315,337.63,13.6854616703915
220,635,196,196,0.921843974817249,2.695189,5.198497,629,2.42,24,4.701273,5.191174,317.13,15.0280402025382
240,736,236,236,1.04572140116049,2.15271,5.247024,687,4.5,16,2.756624,4.035652,366.71,14.8015685205421
251,755,235,235,6.04530618750192,7.814844,5.313206,706,5.21,7,0.777711,1.896667,378.22,15.5271746582981
222,811,229,229,7.91780641373403,-4.059898,5.420535,754,4,4,2.372873,1.138201,404.86,16.4982930380578
234,798,243,243,9.97982330639375,1.664831,5.214936,774,7.54,2,3.511486,4.832882,398.67,16.1036583088598
238,735,264,264,11.3350287101964,4.008752,5.484797,825,7.38,8,2.018242,3.345081,367.88,16.4196517129974
227,697,272,272,9.780267189547,6.483844,5.198497,755,5.96,17,0.642703,1.780877,348.73,15.5685699568275
216,661,237,237,8.1537900493933,-0.872496,4.990433,751,5.08,36,2.002072,1.539819,330.94,15.0786227854143
240,667,211,211,5.92234136369472,2.619933,5.31812,783,5.46,50,3.352563,3.999096,333.80,15.7783443534975
227,645,180,180,1.59303096886792,4.301389,6.369901,804,4.79,62,1.885414,3.37886,321.81,19.573764713501
300,688,201,201,-1.86008513608862,5.628493,5.808142,1139,2.67,67,1.795542,1.871657,343.44,17.1772890046872
229,713,204,204,-0.476671309374276,-1.019334,5.153292,711,1.71,71,1.971249,1.07133,356.85,16.6316144040821
229,667,188,188,2.61098353489941,1.718714,5.283204,693,1.92,48,2.663224,2.97731,333.66,16.2216237547346
250,762,235,235,3.90818501754362,4.450371,5.7301,790,3.38,28,1.689,3.375387,380.53,17.4956037289646
253,784,227,227,6.02258492143346,5.902226,5.347108,754,3.98,8,1.86851,1.104222,391.88,15.5507789376518
239,837,234,234,8.74070811273861,-1.422759,5.442418,799,4.63,13,1.719191,1.856649,418.57,16.7631020509836
245,817,264,264,11.7717763427012,2.064804,5.749393,824,4.88,57,3.874081,2.630979,408.78,17.9717957220981
249,767,302,302,11.8058168123891,5.315744,5.361292,854,5.17,122,1.914027,2.601047,383.57,15.7181909177846
250,722,293,293,8.37375523815262,5.647551,5.283204,810,4.83,138,1.201265,1.078856,360.54,15.6990559523711
243,681,259,259,8.08531121913024,0.885377,5.556828,798,5.29,103,1.138326,1.524095,341.44,16.0006661632485
253,687,229,229,6.04716492760637,2.277559,5.720312,807,3.71,86,3.486481,3.764363,343.74,17.8374750025976
237,660,203,203,3.13819209592348,6.907515,5.497168,832,2.46,63,2.207134,2.067498,330.04,17.0140632758507
317,698,229,229,1.14214263741682,7.855635,6.066108,1142,2.17,37,1.268534,1.356592,349.41,18.2905081092349
240,717,242,242,1.48386913666368,1.418395,5.023881,740,2.15,24,1.398453,2.319249,358.93,13.9760838721384
241,696,233,233,2.42374840064627,2.806092,5.521461,713,2.44,11,3.379277,3.212132,347.68,16.8171543149902
270,775,267,267,3.40165836113802,6.390903,5.42495,791,2.54,15,2.913926,1.647085,387.04,16.5379770490383
245,796,269,269,7.05759996697896,8.403634,5.384495,768,3.25,40,1.414418,1.886218,398.56,16.7615379146857
253,858,270,270,8.23380955707915,-0.89682,5.293305,846,2.81,62,1.40595,0.8125,428.40,15.4008147916052
274,826,315,315,9.09325458782678,1.804288,5.849325,884,4.21,98,2.153811,3.567967,412.22,18.1507733090462
253,783,364,364,10.6048412012665,6.204409,5.411646,886,4.13,124,3.135131,2.018015,391.86,15.9539814442018
265,740,347,347,9.6181440868102,7.192289,5.257495,878,4.17,96,0.740038,1.511764,370.32,15.4056494069869
247,701,312,312,9.5174209813595,2.137232,5.55296,813,3.75,66,1.544093,2.390198,351.60,15.7965744308286
262,706,274,274,7.7573204965515,4.565804,5.768321,840,3.83,64,3.158551,2.533854,353.72,17.9922635986563
258,677,237,237,5.28054405172117,9.473127,5.817111,884,2.42,54,3.665548,2.238007,339.15,16.9686493824802
313,711,278,278,1.58287711572309,9.253648,6.313548,1245,2.17,39,0.645161,0.851506,355.56,19.7135803460385
258.65,734,284,284,0.503856036797235,2.63387,5.123964,796,2.33,21,2.171346,1.840597,367.00,14.7882681130039
248.71,690,277,277,2.73982523459287,5.118029,5.411646,750,2,7,2.695672,3.285001,345.23,16.0304216317149
286.01,785,317,317,4.7165917198657,8.6018,5.918894,834,2.13,4,4.26,2.944039,392.49,17.1027564462936
271.09,805,313,313,5.74897408970723,8.298305,5.66296,838,4.46,23,2.280458,1.107734,401.97,17.7837783693495
271.09,871,318,318,6.48115736788819,0.056115,5.620401,902,3.17,55,2.356787,1.768686,434.61,16.875605985471
271.09,845,374,374,10.515346734167,4.308368,6.077642,895,3.25,94,2.621187,3.099352,422.91,18.3981573130762
266.11,801,413,413,11.6837357375262,7.105178,5.68358,962,4.08,,4.881753,3.907123,400.72,17.5389385660177
281.04,764,405,405,10.068451822346,9.1048,5.752573,990,5.42,,2.944451,1.65418,382.31,18.2323198799993
241.24,725,355,355,7.62464231393195,1.158058,5.545177,882,4.5,,3.255332,2.508189,362.61,16.605085096424
283.52,723,306,306,3.87162832388056,3.23804,5.556828,936,4.88,,2.633709,3.125564,360.99,16.1556554291144
273.58,690,271,271,2.87340654587069,8.456444,6.018593,997,2.83,,5.569777,4.892466,345.62,17.7710969265297
323.32,734,306,306,0.250845746543954,7.696704,7.202661,1305,2.75,,4.277983,1.940422,366.84,22.0317660353304
276.06,750,315,315,-0.789011054285801,0.76893,5.347108,866,1.63,,3.340952,2.622317,374.58,16.4775085640233
256.17,707,301,301,0.826394916142478,2.38035,5.814131,805,3.04,,0.774842,3.513479,353.09,17.6977757016527
276.06,807,356,356,3.23228591748789,6.345328,6.052089,905,2.58,,5.816528,5.6983,403.29,17.4132530296499
263.63,824,348,348,5.69395965067839,6.531949,5.945421,873,2.92,,6.144751,3.63328,411.77,17.1381780679174
273.58,886,355,355,7.99051952020061,-0.625675,5.971262,1024,3.29,,2.776113,3.030199,442.74,17.8418790751411
256.17,859,422,422,11.6040011319358,2.956659,6.184149,985,3.17,,-0.205256,1.643453,429.92,18.2379664694945
263.63,819,465,465,12.2129042848946,6.426566,5.66296,1049,4.88,,5.399197,5.170108,409.76,16.6750980751123
273.58,783,467,467,8.99492861044203,6.79667,5.843544,1034,4.63,,5.289565,4.080894,391.20,17.9701271247377
253.68,740,404,404,7.85884854822236,1.31291,5.713733,951,4.83,,2.941281,3.188086,370.65,16.7220538192144
295.96,747,347,347,3.51627190493556,0.919315,5.932245,1010,3.42,,0.204731,1.357834,372.62,17.7392924515044
258.65,711,305,305,1.89019233647568,7.413472,6.086775,1016,2.38,,5.174472,5.418737,355.78,18.1442564230281
335.75,751,336,336,-0.171391821865543,6.059943,7.607381,1378,2.33,,5.464673,4.327031,375.44,23.5813505235152
281.04,804,340,340,-0.006271483263147,0.59316,5.686975,915,1.5,,4.592224,3.363194,402.02,16.4022007248734
243.73,756,318,318,1.62583430625592,1.366538,5.940171,854,2.25,,1.414334,1.270423,377.67,17.3527905703244
258.65,860,362,362,3.51474430517092,5.898925,6.386879,922,2.63,,3.836906,6.140476,429.73,19.0769600768318
271.09,878,348,348,7.03447441093534,7.035682,6.079933,965,2.96,,4.349989,4.874724,439.42,17.7092486763259
268.6,942,363,363,10.1992283947612,0.489429,6.274762,1014,3.46,,4.42866,3.446589,471.40,18.1072562932795
263.63,913,435,435,12.48898126781,3.139279,6.156979,1040,4.33,,2.112542,1.339694,456.73,17.3892931410755
271.09,869,491,491,12.5688095222247,7.421825,6.061457,1137,5.42,,4.601026,5.684773,434.85,18.4747840269599
271.09,834,505,505,11.305994367857,9.362485,5.886104,1026,4.79,,5.260487,4.873011,417.82,17.4888737054939
258.65,790,404,404,8.40434862886262,1.521689,6.246107,992,4.38,,3.55491,2.61723,395.15,18.9446267991109
283.52,800,359,359,5.78584075671085,5.107072,6.336826,1052,4.54,,2.297727,0.787563,400.29,17.9860049780289
283.52,763,310,310,4.67205505279741,9.699433,6.347389,1056,2.04,,6.138609,5.395001,382.43,19.6260171238031
340.73,800,337,337,1.10271345226527,9.22928,6.917706,1469,1.33,,4.924136,4.873011,399.83,19.7787717785172
271.09,826,360,360,1.32576301009667,3.823734,5.883322,916,2.04,,3.713153,2.61723,413.52,17.3913096858551
253.68,799,342,342,3.10099603813386,5.028748,6.146329,934,2.81,,2.319855,0.787563,399.57,17.9507884339823
281.04,890,406,406,5.97158530883491,10.5834,6.421622,987,2.67,,5.810256,5.395001,445.57,19.2146175545954
273.58,900,396,396,7.4616117130917,9.538505,6.553933,1018,4.08,,4.092914,4.873011,449.93,19.7291874414937
263.63,961,420,420,8.42399446393982,2.686267,6.616065,1048,3.9,,3.958036,2.61723,480.11,20.7159666323291
266.11,935,472,472,11.7804674052293,5.950201,6.410175,1086,3.96,,2.296231,0.787563,468.04,18.9772318624246
273.58,894,548,548,11.1547063402544,8.248605,6.459904,1144,4.5,,7.00275,5.395001,446.71,18.9823998079647
266.11,855,559,559,9.36111300059773,10.39877,6.318968,1077,5.58,,4.909094,4.873011,427.77,18.5835291400812
266.11,809,463,463,7.56760968674419,2.54955,6.059123,1036,4.52,,2.189827,2.61723,404.77,18.470729926662
283.52,810,407,407,4.68366709961866,5.132614,6.226537,1076,5.88,,3.928186,0.787563,404.84,19.3215801089832
271.09,766,362,362,1.77427888880077,8.130442,6.50279,1114,3.67,,6.663707,5.395001,382.78,18.790696825778
363.11,805,405,405,-1.7357310277235,7.902926,6.783325,1595,1.79,,4.19867,4.873011,401.82,20.8346128942602
261.14,821,417,417,0.873090052934378,3.414852,5.726848,949,1.71,,1.765195,2.61723,411.50,17.9743600706544
251.19,773,391,391,2.64182137265248,3.30853,6.295266,930,1.92,,4.275203,0.787563,386.22,18.5523488206206
281.04,883,419,419,4.68578609852776,8.898232,6.331502,1045,3.58,,6.426952,5.395001,441.54,19.0360733184762
266.11,898,461,461,6.56742517036653,7.911357,6.401917,1015,4.4,,6.899262,4.873011,448.88,18.7915853027066
271.09,957,472,472,11.6704083222222,4.796401,6.33328,1091,3.79,,1.332872,2.61723,479.92,19.3476159946691
286.01,924,535,535,14.4077793656283,5.409209,6.605298,1142,5.52,,4.661124,0.787563,462.63,19.9355022166643
271.09,881,622,622,13.8072709010548,11.08023,6.50129,1182,5.5,,8.452798,5.395001,440.94,19.527191149456
278.55,837,606,606,11.4906979321406,11.38466,6.272877,1161,5,,7.737583,4.873011,419.17,18.3037376276169
281.52,784,508,508,8.16990528222754,4.370963,6.349139,1145,5.48,,1.208174,2.61723,392.09,18.8976209488812
276.06,791,461,461,5.53775177210226,7.04541,6.917706,1119,4.81,,6.01481,0.787563,395.77,21.1154129407145
288.5,760,390,390,2.44282526817747,9.979136,6.428105,1189,2.42,,8.169099,5.395001,379.88,19.2794764881866
375.55,802,432,432,-1.29366025329655,9.756526,7.146772,1662,1.46,,8.398316,4.873011,400.39,21.9414305276512
268.6,828,,,0.322557872530637,4.353386,6.535241,1048,1.71,,1.843788,2.61723,414.63,19.098759284548
263.63,778,,,2.44563521183311,5.071358,6.475433,1019,2.46,,6.34893,0.787563,388.86,19.8056151340582
293.47,889,,,3.26655784360394,8.515766,6.844815,1129,2.42,,8.760706,5.395001,443.85,21.1552751783772
281.04,902,,,6.61171753039781,10.06736,6.715383,1092,1.79,,6.847984,4.873011,451.38,19.5613893814951
283.52,969,,,9.93417299500077,2.90879,6.661855,1176,3.63,,2.560238,2.61723,484.89,20.1838177919608
298.45,947,,,12.359732453096,5.717064,6.692084,1297,3.54,,5.851263,0.787563,473.71,19.1856907041812
268.6,908,,,,,6.697034,1322,4.88,,9.96161,5.395001,454.20,20.1307502846554
298.45,867,,,,,6.548219,1330,4.96,,7.121993,4.873011,433.18,20.1477985639678
281.04,815,,,,,6.685861,1263,3.63,,3.536795,2.61723,407.86,20.5752798898013
290.99,812,,,,,6.812345,1250,5.46,,5.443407,0.787563,406.26,20.4895901513419
300.93,773,,,,,6.84588,1341,3.08,,9.616888,5.395001,387.04,20.1567925042377
375.55,813,,,,,7.35628,1927,1.75,,8.459932,4.873011,405.12,22.3580763681894
,834,,,,,6.390241,1271,2.13,,3.07031,2.61723,417.23,19.4028857334823
,782,,,,,6.751101,1238,2.58,,6.904706,0.787563,391.73,20.6176897785286
,892,,,,,6.677083,1283,2.75,,7.694723,5.395001,445.14,19.556729234297
,903,,,,,6.678342,1283,3.15,,8.483974,4.873011,451.52,20.333353904602
,966,,,,,6.909753,1413,3.46,,3.891162,2.61723,483.68,21.5346165584199
,937,,,,,6.803505,1371,3.33,,8.686312,0.787563,469.34,20.5276454120362
,896,,,,,6.872128,1425,4.67,,7.242318,5.395001,448.12,20.4237462009542
,858,,,,,6.84375,1453,4.13,,8.333402,4.873011,429.07,20.6556262426384
,817,,,,,6.710523,1311,4.73,,2.788821,2.61723,409.43,21.0406726190512
,827,,,,,7.231287,1387,3.42,,8.321954,0.787563,413.48,20.493446227971
,797,,,,,6.80017,1454,3.08,,8.133843,5.395001,398.17,20.4089057729657
,843,,,,,7.708411,1993,1.79,,9.329762,4.873011,421.95,23.0637068202934
,,,,,,6.603944,1328,1.96,,1.817319,2.61723,,20.3066039389747
,,,,,,7.129298,1250,1.63,,10.67652,0.787563,,22.0059229346958
,,,,,,7.061334,1308,2.75,,8.826489,5.395001,,22.0017809823094
,,,,,,6.988413,1350,3.06,,9.781025,4.873011,,20.0557374770168
,,,,,,7.2086,1455,4.31,,3.06853,2.61723,,22.027797795052
,,,,,,7.159292,1442,3.31,,10.12719,0.787563,,21.6613176707425
,,,,,,7.049255,1530,3.71,,8.50014,5.395001,,21.5188695337695
,,,,,,6.94119,1505,5.25,,9.374471,4.873011,,21.0655342441964
,,,,,,6.81564,1421,3.67,,2.525537,2.61723,,20.3792228987419
,,,,,,7.085901,1485,3.1,,9.391991,0.787563,,22.0873690780616
,,,,,,7.17549,1465,2.25,,6.654031,5.395001,,21.7536595027661
,,,,,,7.953318,2163,2.29,,10.5037,4.873011,,23.8443652608116
,,,,,,5.981414,1361,1.25,,3.157728,2.61723,,17.9339328775554
,,,,,,6.784457,1284,2.25,,8.459894,0.787563,,20.3271388990641
,,,,,,7.034388,1392,2.67,,6.285393,5.395001,,20.2617540716018
,,,,,,6.966024,1442,3.23,,11.35778,4.873011,,21.1196777737314
,,,,,,7.103322,1504,3.58,,2.674278,2.61723,,21.4063553853623
,,,,,,7.091742,1488,3.04,,9.461597,0.787563,,21.6005965926909
,,,,,,7.063048,1606,3.75,,6.014984,5.395001,,21.1046917325985
,,,,,,7.008505,1488,4.54,,10.92723,4.873011,,21.4383346451347
,,,,,,6.873164,1442,4.46,,3.048828,2.61723,,21.2802251215491
,,,,,,7.134094,1495,2.83,,8.572449,0.787563,,22.3534361065876
,,,,,,7.064759,1509,1.63,,6.227369,5.395001,,20.5389997097931
,,,,,,7.922986,2135,1.17,,11.26433,4.873011,,24.078976322125
,,,,,,6.565265,1369,1.79,,2.483507,2.61723,,19.5879232440278
,,,,,,6.89467,1320,1.92,,8.595816,0.787563,,20.313006647516
,,,,,,7.106606,1448,2.25,,6.2776,5.395001,,21.6894627947732
,,,,,,7.138867,1495,2.96,,12.17716,4.873011,,22.5824640683087
,,,,,,6.954639,1522,2.38,,1.608107,2.61723,,21.538646108141
,,,,,,6.88551,1575,3.38,,9.615181,0.787563,,20.7463806868907
,,,,,,6.79794,1666,3.38,,5.875398,5.395001,,20.1571745945064
,,,,,,6.566672,1617,3.21,,,,,
,,,,,,6.6995,1567,2.58,,,,,
,,,,,,7.062192,1551,2.42,,,,,
,,,,,,7.100027,1624,1.58,,,,,
,,,,,,7.601402,2367,1.21,,,,,
,,,,,,,1377,1.42,,,,,
,,,,,,,1294,1.96,,,,,
,,,,,,,1401,3.04,,,,,
,,,,,,,1362,2.92,,,,,
,,,,,,,1466,3.58,,,,,
,,,,,,,1559,3.33,,,,,
,,,,,,,1569,4.04,,,,,
,,,,,,,1575,3.92,,,,,
,,,,,,,1456,3.08,,,,,
,,,,,,,1487,2,,,,,
,,,,,,,1549,1.58,,,,,
,,,,,,,2178,1.21,,,,,
,,,,,,,1423,,,,,,
,,,,,,,1312,,,,,,
,,,,,,,1465,,,,,,
,,,,,,,1488,,,,,,
,,,,,,,1577,,,,,,
,,,,,,,1591,,,,,,
,,,,,,,1669,,,,,,
,,,,,,,1697,,,,,,
,,,,,,,1659,,,,,,
,,,,,,,1597,,,,,,
,,,,,,,1728,,,,,,
,,,,,,,2326,,,,,,
,,,,,,,1529,,,,,,
,,,,,,,1395,,,,,,
,,,,,,,1567,,,,,,
,,,,,,,1536,,,,,,
,,,,,,,1682,,,,,,
,,,,,,,1675,,,,,,
,,,,,,,1758,,,,,,
,,,,,,,1708,,,,,,
,,,,,,,1561,,,,,,
,,,,,,,1643,,,,,,
,,,,,,,1635,,,,,,
,,,,,,,2240,,,,,,
,,,,,,,1485,,,,,,
,,,,,,,1376,,,,,,
,,,,,,,1459,,,,,,
,,,,,,,1526,,,,,,
,,,,,,,1659,,,,,,
,,,,,,,1623,,,,,,
,,,,,,,1731,,,,,,
,,,,,,,1662,,,,,,
,,,,,,,1589,,,,,,
,,,,,,,1683,,,,,,
,,,,,,,1672,,,,,,
,,,,,,,2361,,,,,,
,,,,,,,1480,,,,,,
,,,,,,,1385,,,,,,
,,,,,,,1505,,,,,,
,,,,,,,1576,,,,,,
,,,,,,,1649,,,,,,
,,,,,,,1684,,,,,,
,,,,,,,1748,,,,,,
,,,,,,,1642,,,,,,
,,,,,,,1571,,,,,,
,,,,,,,1567,,,,,,
,,,,,,,1637,,,,,,
,,,,,,,2397,,,,,,
,,,,,,,1483,,,,,,
,,,,,,,1390,,,,,,
,,,,,,,1562,,,,,,
,,,,,,,1573,,,,,,
,,,,,,,1718,,,,,,
,,,,,,,1752,,,,,,
,,,,,,,1809,,,,,,
,,,,,,,1759,,,,,,
,,,,,,,1698,,,,,,
,,,,,,,1643,,,,,,
,,,,,,,1718,,,,,,
,,,,,,,2399,,,,,,
,,,,,,,1551,,,,,,
,,,,,,,1497,,,,,,
,,,,,,,1697,,,,,,
,,,,,,,1672,,,,,,
,,,,,,,1805,,,,,,
,,,,,,,1903,,,,,,
,,,,,,,1928,,,,,,
,,,,,,,1963,,,,,,
,,,,,,,1807,,,,,,
,,,,,,,1843,,,,,,
,,,,,,,1950,,,,,,
,,,,,,,2736,,,,,,
,,,,,,,1798,,,,,,
,,,,,,,1700,,,,,,
,,,,,,,1901,,,,,,
,,,,,,,1820,,,,,,
,,,,,,,1982,,,,,,
,,,,,,,1957,,,,,,
,,,,,,,2076,,,,,,
,,,,,,,2107,,,,,,
,,,,,,,1799,,,,,,
,,,,,,,1854,,,,,,
,,,,,,,1968,,,,,,
,,,,,,,2364,,,,,,
,,,,,,,1662,,,,,,
,,,,,,,1681,,,,,,
,,,,,,,1725,,,,,,
,,,,,,,1796,,,,,,
,,,,,,,1938,,,,,,
,,,,,,,1871,,,,,,
,,,,,,,2001,,,,,,
,,,,,,,1934,,,,,,
,,,,,,,1825,,,,,,
,,,,,,,1930,,,,,,
,,,,,,,1867,,,,,,
,,,,,,,2553,,,,,,
,,,,,,,1624,,,,,,
,,,,,,,1533,,,,,,
,,,,,,,1676,,,,,,
,,,,,,,1706,,,,,,
,,,,,,,1781,,,,,,
,,,,,,,1772,,,,,,
,,,,,,,1922,,,,,,
,,,,,,,1743,,,,,,
,,,,,,,1669,,,,,,
,,,,,,,1713,,,,,,
,,,,,,,1733,,,,,,
,,,,,,,2369,,,,,,
,,,,,,,1491,,,,,,
,,,,,,,1445,,,,,,
,,,,,,,1643,,,,,,
,,,,,,,1683,,,,,,
,,,,,,,1751,,,,,,
,,,,,,,1774,,,,,,
,,,,,,,1893,,,,,,
,,,,,,,1776,,,,,,
,,,,,,,1743,,,,,,
,,,,,,,1728,,,,,,
,,,,,,,1769,,,,,,
,,,,,,,2431,,,,,,
